,mszoning,lotarea,housestyle,yearbuilt,centralair,garagecars,garagearea,yrsold,saleprice,no_houses,age_houses
891,RL,11184,2Story,1978,1,2,440,2009,172500,1,31
892,RL,8414,1Story,1963,1,1,264,2006,154500,1,43
893,RL,13284,1Story,1954,1,1,354,2008,165000,1,54
895,RL,7056,2Story,1963,1,2,483,2008,140000,1,45
899,RL,6993,1Story,1961,1,1,288,2006,135000,1,45
900,RL,7340,1Story,1971,1,1,684,2007,110000,1,36
901,RL,8712,1Story,1957,1,1,756,2009,153000,1,52
902,RL,7875,2Story,2003,1,2,393,2006,180000,1,3
904,RL,6173,1Story,1967,1,1,288,2007,125500,1,40
905,RL,9920,1Story,1954,1,1,280,2010,128000,1,56
906,RL,13501,1Story,2006,1,3,865,2007,255000,1,1
908,RL,8885,1Story,1983,1,2,484,2006,131000,1,23
909,RL,12589,2Story,2005,1,2,390,2009,174000,1,4
911,RL,9286,1Story,1977,1,1,252,2009,143500,1,32
917,RL,17140,1Story,1956,1,1,284,2009,135000,1,53
918,RL,13125,2Story,1991,1,3,833,2007,238000,1,16
919,RL,11029,1Story,1958,1,2,601,2008,176500,1,50
920,RL,8462,2Story,1994,1,2,471,2007,201000,1,13
924,RL,10240,1Story,1980,1,2,612,2006,207500,1,26
926,RL,11999,2Story,2003,1,3,656,2007,285000,1,4
927,RL,9900,2Story,1968,1,2,486,2008,176000,1,40
928,RL,11838,1Story,2001,1,2,522,2009,236500,1,8
929,RL,13006,2Story,1997,1,2,642,2006,222000,1,9
930,RL,8925,1Story,2007,1,3,610,2009,201000,1,2
931,RL,9100,1Story,1965,1,1,429,2009,117500,1,44
932,RL,11670,1Story,2006,1,3,788,2007,320000,1,1
933,RL,8487,1Story,2004,1,2,570,2009,190000,1,5
934,RL,27650,1Story,1960,1,2,505,2008,242000,1,48
935,RL,5825,1Story,1926,1,2,528,2006,79900,1,80
936,RL,10083,1Story,2003,1,2,555,2009,184900,1,6
937,RL,9675,2Story,2005,1,2,689,2009,253000,1,4
941,RL,8755,2Story,1999,1,2,390,2009,214000,1,10
947,RL,14536,1Story,2002,1,3,808,2007,270000,1,5
948,RL,14006,2Story,2002,1,2,474,2006,192500,1,4
949,RL,9360,1Story,1972,1,2,676,2010,197500,1,38
950,RL,7200,1Story,1950,1,2,720,2007,129000,1,57
953,RL,11075,2Story,1969,1,2,530,2008,172000,1,39
957,RL,7420,1Story,1962,1,2,576,2007,132000,1,45
958,RL,8450,1Story,2003,1,2,531,2007,185000,1,4
960,RL,7207,1Story,1958,1,0,0,2010,116500,1,52
961,RL,12227,2Story,1977,1,2,619,2008,272000,1,31
963,RL,11923,1Story,2007,1,2,702,2009,239000,1,2
964,RL,11316,2Story,2002,1,2,510,2010,214900,1,8
967,RL,7390,1Story,1955,1,1,260,2008,135000,1,53
974,RL,11414,2Story,1910,0,2,532,2009,167500,1,99
976,RL,5900,1Story,1923,1,0,0,2006,85500,1,83
979,RL,8816,1Story,1963,1,2,480,2009,139000,1,46
981,RL,12203,2Story,1998,1,3,676,2009,336000,1,11
982,RL,3182,1Story,2007,1,2,388,2008,159895,1,1
983,RL,11250,2Story,2002,1,2,779,2008,255900,1,6
988,RL,12046,2Story,1976,1,2,551,2007,195000,1,31
990,RL,9452,2Story,1997,1,3,870,2006,348000,1,9
991,RM,17671,2Story,1882,1,2,424,2009,168000,1,127
992,RL,9760,2Story,1964,1,2,440,2007,187000,1,43
994,RL,12456,1Story,2006,1,3,786,2009,337500,1,3
997,RL,11717,1Story,1970,1,2,615,2009,185000,1,39
998,RM,9786,1Story,1922,0,1,210,2006,91000,1,84
999,RL,6762,1Story,2006,1,2,632,2010,206000,1,4
1000,RL,10206,1Story,1952,0,2,528,2009,82000,1,57
1002,RL,11957,1Story,2006,1,3,824,2008,232000,1,2
1006,RL,12155,1Story,1970,1,2,484,2007,163500,1,37
1008,RL,12118,1Story,2004,1,2,550,2009,240000,1,5
1012,RL,10592,2Story,1923,1,1,180,2007,165000,1,84
1013,RM,7200,1Story,1910,0,1,280,2009,85000,1,99
1014,RL,11664,1Story,1948,1,1,240,2007,119200,1,59
1015,RL,8400,2Story,2001,1,2,528,2009,227000,1,8
1016,RL,11883,1Story,1996,1,2,478,2009,203000,1,13
1020,RL,7024,1Story,2005,1,2,451,2008,176000,1,3
1025,RL,7700,1Story,1972,1,2,461,2007,112500,1,35
1026,RL,9300,1Story,1960,1,2,461,2010,167500,1,50
1033,RL,8125,1Story,2002,1,3,900,2006,230000,1,4
1034,RL,6305,1Story,1938,1,1,240,2007,119750,1,69
1035,RL,11500,1Story,1957,0,1,290,2009,84000,1,52
1036,RL,12898,1Story,2007,1,3,912,2009,315500,1,2
1037,RL,9240,2Story,2001,1,2,905,2008,287000,1,7
1040,RL,13125,1Story,1957,1,2,484,2006,155000,1,49
1041,RL,9130,2Story,1966,1,2,484,2008,173000,1,42
1043,RL,11839,2Story,1990,1,2,514,2008,262280,1,18
1044,RL,9600,1Story,1981,1,2,542,2009,278000,1,28
1045,RL,13680,1Story,1955,1,2,452,2009,139600,1,54
1047,RL,9245,1Story,1994,1,2,672,2008,145000,1,14
1048,RL,21750,1Story,1960,1,2,336,2009,115000,1,49
1052,RL,9500,2Story,1964,1,2,540,2007,165000,1,43
1053,RL,8562,1Story,1957,1,1,364,2010,144500,1,53
1054,RL,11367,2Story,2002,1,2,586,2006,255000,1,4
1057,RL,29959,2Story,1994,1,2,467,2009,248000,1,15
1058,RL,11308,2Story,2008,1,3,836,2009,335000,1,1
1063,RM,6000,1Story,1925,1,2,440,2006,110500,1,81
1064,RL,11000,1Story,1966,1,2,480,2009,154000,1,43
1065,RL,14000,2Story,1996,1,2,533,2010,328000,1,14
1066,RL,7837,2Story,1993,1,2,380,2009,178000,1,16
1067,RL,9760,2Story,1964,1,2,442,2008,167900,1,44
1070,RL,10152,1Story,1956,1,1,286,2007,135000,1,51
1071,RL,11700,2Story,1968,1,2,441,2009,154000,1,41
1073,RL,7950,2Story,1977,1,2,440,2009,159500,1,32
1074,RL,8556,1Story,2006,1,3,826,2007,194000,1,1
1079,RL,8775,1Story,1994,1,1,299,2007,126000,1,13
1081,RL,7500,1Story,1963,1,1,308,2010,133000,1,47
1082,RL,8749,1Story,2002,1,2,527,2007,192000,1,5
1083,RL,8800,1Story,1964,1,1,461,2006,160000,1,42
1084,RL,13031,2Story,1995,1,2,409,2006,187500,1,11
1093,RL,9230,1Story,1965,1,2,884,2006,146000,1,41
1094,RL,5868,1Story,1956,1,1,308,2010,129000,1,54
1095,RL,9317,1Story,2006,1,2,440,2007,176432,1,1
1096,RM,6882,2Story,1914,1,0,0,2007,127000,1,93
1100,RL,8400,1Story,1920,0,1,246,2009,60000,1,89
1101,RL,9758,1Story,1971,1,1,280,2007,119500,1,36
1103,RL,8910,1Story,1959,1,2,539,2006,159500,1,47
1105,RL,12256,2Story,1994,1,2,712,2010,325000,1,16
1106,RL,10357,1Story,1990,1,2,719,2007,179900,1,17
1109,RL,11362,1Story,2004,1,3,862,2009,280000,1,5
1110,RL,8000,2Story,1995,1,2,431,2008,188000,1,13
1111,RL,10480,2Story,1976,1,2,483,2008,205000,1,32
1112,RL,7100,1Story,1957,1,1,308,2006,129900,1,49
1113,RL,8923,1Story,1953,1,1,240,2007,134500,1,54
1114,RL,5400,1Story,1954,1,1,326,2006,117000,1,52
1117,RL,9764,1Story,1967,1,2,450,2008,130000,1,41
1119,RL,7560,1Story,1959,1,1,286,2006,133700,1,47
1120,RM,8263,1Story,1920,1,1,308,2007,118400,1,87
1123,RL,9405,1Story,1947,1,0,0,2009,118000,1,62
1125,RL,10434,1Story,1955,1,2,672,2009,115000,1,54
1128,RL,11796,2Story,2004,1,2,434,2007,215000,1,3
1132,RM,9900,2Story,1880,1,1,205,2007,117500,1,127
1133,RL,9828,2Story,1995,1,2,466,2009,239500,1,14
1134,RL,8773,2Story,1997,1,2,460,2007,169000,1,10
1135,RM,6180,1Story,1926,0,1,180,2007,102000,1,81
1138,RL,9819,1Story,1977,1,2,714,2009,196000,1,32
1139,RL,8731,1Story,1920,1,2,495,2007,144000,1,87
1141,RL,10304,2Story,1976,1,2,484,2009,197500,1,33
1143,RL,9000,1Story,1959,1,0,0,2008,80000,1,49
1146,RL,11200,1Story,1985,1,2,403,2006,180000,1,21
1147,RL,12000,2Story,1941,1,1,234,2009,174500,1,68
1149,RM,9000,2Story,1920,1,2,324,2009,143000,1,89
1150,RL,8280,1Story,1950,1,1,306,2007,124000,1,57
1151,RL,17755,1Story,1959,1,2,528,2006,149900,1,47
1153,RM,5890,1Story,1930,1,1,432,2008,120500,1,78
1154,RL,13700,2Story,1965,1,2,492,2008,201800,1,43
1155,RL,10768,1Story,1976,1,2,528,2007,218000,1,31
1159,RL,9120,2Story,1974,1,2,540,2008,185000,1,34
1161,RL,14778,1Story,1954,1,2,924,2008,224000,1,54
1162,RL,8724,1Story,1968,1,2,450,2007,129000,1,39
1166,RL,10475,1Story,2008,1,3,776,2010,245350,1,2
1167,RL,10852,2Story,2000,1,2,472,2006,173000,1,6
1168,RL,13728,2Story,1935,1,2,540,2008,235000,1,73
1169,RL,35760,2Story,1995,1,3,807,2006,625000,1,11
1171,RL,9120,1Story,1958,1,2,433,2008,163000,1,50
1174,RL,16560,2Story,1932,1,2,360,2006,239000,1,74
1176,RL,6951,1Story,1984,1,1,264,2008,119500,1,24
1179,RL,8335,1Story,1954,1,0,0,2006,93000,1,52
1180,RL,11170,2Story,1990,1,2,693,2006,250000,1,16
1183,RL,10800,1Story,1920,1,2,720,2006,120000,1,86
1184,RL,35133,1Story,1963,1,3,995,2007,186700,1,44
1187,RL,12461,1Story,1994,1,3,757,2006,262000,1,12
1188,RL,8935,2Story,2002,1,2,493,2009,195000,1,7
1189,RL,7500,2Story,1999,1,2,442,2010,189000,1,11
1194,RL,9364,2Story,1969,1,1,299,2010,158000,1,41
1195,RL,8029,2Story,2005,1,2,400,2008,176000,1,3
1198,RL,9100,1Story,2001,1,2,573,2009,178000,1,8
1199,RL,11235,1Story,1963,1,2,459,2006,148000,1,43
1201,RL,10400,2Story,1998,1,2,546,2009,197900,1,11
1203,RL,9750,1Story,2000,1,2,451,2009,213000,1,9
1204,RL,10140,1Story,1975,1,2,495,2006,153500,1,31
1205,RL,14684,1Story,1990,1,3,701,2009,271900,1,19
1207,RL,9135,1Story,2003,1,2,544,2006,200000,1,3
1208,RL,7763,1Story,1962,1,2,506,2008,140000,1,46
1210,RL,11218,2Story,1992,1,2,462,2010,189000,1,18
1212,RL,9340,1Story,1941,1,1,234,2009,113000,1,68
1215,RL,7094,1Story,1966,1,1,384,2007,125000,1,41
1221,RL,8250,1Story,1968,1,1,322,2008,134000,1,40
1223,RL,10680,1Story,1951,0,2,528,2006,137900,1,55
1224,RL,15384,2Story,2004,1,2,388,2008,184000,1,4
1226,RL,14598,2Story,2007,1,3,668,2008,214000,1,1
1227,RL,8872,1Story,1965,1,2,576,2008,147000,1,43
1235,RL,13132,2Story,1914,1,1,180,2006,138887,1,92
1237,RL,12393,2Story,2004,1,2,434,2006,195000,1,2
1239,RL,9037,1Story,2006,1,2,472,2007,265900,1,1
1240,RL,8158,2Story,2003,1,2,543,2008,224900,1,5
1244,RL,11435,2Story,1929,1,2,400,2006,230000,1,77
1249,RL,7200,1Story,1950,1,1,276,2007,119000,1,57
1250,RL,11160,1Story,1968,1,2,522,2010,244000,1,42
1252,RL,9858,1Story,1968,1,1,288,2009,130000,1,41
1253,RL,17542,2Story,1974,1,2,518,2007,294000,1,33
1254,RL,6931,2Story,2003,1,2,397,2008,165400,1,5
1256,RL,14303,1Story,1994,1,2,691,2008,301500,1,14
1257,RL,4060,1Story,1922,1,0,0,2009,99900,1,87
1259,RL,9750,1Story,1969,1,2,460,2008,151000,1,39
1260,RL,24682,2Story,1999,1,2,502,2009,181000,1,10
1261,RL,9600,1Story,1956,1,1,338,2009,128900,1,53
1263,RL,13515,2Story,1919,1,2,520,2007,180500,1,88
1267,RL,13214,1Story,2008,1,3,746,2010,378500,1,2
1270,RL,23595,1Story,1979,1,2,586,2010,260000,1,31
1271,RL,9156,1Story,1968,1,2,462,2009,185750,1,41
1272,RL,13526,1Story,1965,1,1,288,2006,137000,1,41
1276,RL,12936,2Story,1972,1,2,497,2009,162000,1,37
1278,RL,9473,2Story,2002,1,2,577,2008,237000,1,6
1280,RL,9808,1Story,2002,1,2,544,2009,227000,1,7
1281,RL,8049,1Story,1990,1,2,484,2006,180000,1,16
1282,RL,8800,1Story,1977,1,2,484,2009,150500,1,32
1286,RL,9790,1Story,1963,1,2,528,2010,143000,1,47
1287,RL,36500,1Story,1964,1,2,390,2006,190000,1,42
1292,RM,6600,2Story,1892,0,1,432,2009,107500,1,117
1293,RL,10140,2Story,1976,1,2,528,2006,162900,1,30
1294,RL,8172,1Story,1955,1,2,572,2006,115000,1,51
1295,RL,8400,1Story,1968,1,1,288,2006,138500,1,38
1296,RL,8700,1Story,1963,1,2,525,2008,155000,1,45
1299,RL,7500,1Story,1959,1,1,305,2010,154000,1,51
1300,RL,10762,2Story,1999,1,2,490,2009,225000,1,10
1301,RL,7500,2Story,1942,1,1,213,2009,177500,1,67
1302,RL,10120,2Story,1994,1,3,844,2006,290000,1,12
1303,RL,8688,1Story,2005,1,3,834,2006,232000,1,1
1305,RL,13173,1Story,2006,1,2,840,2009,325000,1,3
1307,RL,8072,1Story,1994,1,2,480,2009,138000,1,15
1308,RM,12000,1Story,1948,1,2,528,2008,147000,1,60
1309,RL,7153,1Story,1991,1,2,496,2008,179200,1,17
1310,RL,17500,1Story,1959,1,2,567,2010,335000,1,51
1312,RL,9572,2Story,1990,1,2,750,2007,302000,1,17
1313,RL,14774,2Story,1999,1,3,779,2010,333168,1,11
1314,RL,8190,1Story,1954,1,1,280,2007,119000,1,53
1315,RL,11075,2Story,1969,1,2,576,2008,206900,1,39
1316,RL,10226,1Story,2008,1,3,860,2009,295493,1,1
1318,RL,14781,1Story,2001,1,3,748,2006,275000,1,5
1319,RL,10215,1Story,1954,1,1,248,2007,111000,1,53
1320,RL,8400,1Story,1957,1,2,442,2009,156500,1,52
1321,RL,6627,1Story,1949,0,1,287,2008,72500,1,59
1322,RL,10186,2Story,1992,1,2,564,2010,190000,1,18
1323,RL,5330,1Story,1940,1,0,0,2009,82500,1,69
1325,RM,3636,1Story,1922,0,0,0,2008,55000,1,86
1327,RL,6600,1Story,1982,1,1,264,2008,130500,1,26
1329,RL,9084,2Story,1998,1,2,462,2006,176500,1,8
1330,RL,10000,1Story,2006,1,3,825,2007,227000,1,1
1332,RL,8877,1Story,1938,1,1,288,2009,100000,1,71
1335,RL,9650,1Story,1977,1,2,630,2009,167900,1,32
1337,RM,4118,1Story,1941,0,0,0,2006,52500,1,65
1338,RL,13450,2Story,2002,1,2,492,2006,200000,1,4
1339,RL,9560,1Story,1972,1,1,288,2006,128500,1,34
1340,RL,8294,1Story,1971,1,4,480,2007,123000,1,36
1341,RL,13695,1Story,2003,1,2,576,2008,155000,1,5
1342,RL,9375,2Story,2002,1,2,647,2007,228500,1,5
1345,RM,6000,1Story,1920,1,1,308,2007,108500,1,87
1346,RL,20781,1Story,1968,1,2,508,2006,262500,1,38
1348,RL,16196,1Story,1998,1,2,514,2007,215000,1,9
1349,RM,5250,2Story,1872,0,0,0,2008,122000,1,136
1351,RL,9247,2Story,1962,1,2,490,2008,171000,1,46
1354,RL,10316,2Story,2000,1,3,839,2008,235000,1,8
1356,RL,9477,1Story,1966,1,1,264,2008,110000,1,42
1357,RL,12537,1Story,1971,1,2,500,2010,149900,1,39
1359,RL,16737,1Story,2004,1,3,770,2006,315000,1,2
1360,RL,9842,2Story,1921,1,2,621,2008,189000,1,87
1361,RL,16158,1Story,2005,1,2,430,2009,260000,1,4
1369,RL,10635,1Story,2003,1,2,502,2010,232000,1,7
1372,RL,9750,2Story,1998,1,2,583,2006,274300,1,8
1373,RL,11400,1Story,2001,1,3,804,2007,466500,1,6
1376,RL,6292,1Story,1930,0,1,160,2008,91000,1,78
1380,RL,8212,1Story,1914,0,1,200,2010,58500,1,96
1381,RL,12925,1Story,1970,1,2,550,2008,237500,1,38
1382,RM,7200,2Story,1920,1,2,576,2006,157000,1,86
1383,RL,25339,1Story,1918,1,2,576,2007,112000,1,89
1386,RL,16692,2Story,1978,1,2,564,2006,250000,1,28
1388,RL,14892,1Story,2006,1,3,758,2009,377500,1,3
1390,RL,9100,1Story,2000,1,2,541,2006,235000,1,6
1395,RL,12665,2Story,2005,1,3,642,2007,281213,1,2
1396,RL,57200,1Story,1948,1,2,572,2010,160000,1,62
1397,RM,6120,2Story,1920,1,1,180,2007,137500,1,87
1401,RL,7415,2Story,2004,1,2,398,2008,193000,1,4
1403,RL,15256,1Story,2007,1,3,754,2007,282922,1,0
1407,RL,8780,1Story,1985,1,0,0,2009,112000,1,24
1408,RM,7740,2Story,1910,1,2,528,2010,125500,1,100
1409,RL,20544,2Story,1986,1,2,542,2008,215000,1,22
1410,RL,12420,2Story,2001,1,2,622,2009,230000,1,8
1417,RL,16545,2Story,1998,1,3,1069,2009,340000,1,11
1419,RL,16381,1Story,1969,1,2,540,2006,223000,1,37
1420,RL,11700,2Story,1968,1,2,776,2006,179900,1,38
1424,RL,9503,1Story,1958,1,1,484,2007,144000,1,49
1425,RL,10721,1Story,1959,1,2,528,2008,142000,1,49
1426,RL,10944,2Story,1994,1,2,525,2008,271000,1,14
1429,RL,12546,1Story,1981,1,2,467,2007,182900,1,26
1430,RL,21930,2Story,2005,1,2,372,2006,192140,1,1
1432,RL,10800,1Story,1927,1,1,216,2007,64500,1,80
1433,RL,10261,2Story,2000,1,2,451,2008,186500,1,8
1434,RL,17400,1Story,1977,1,2,484,2006,160000,1,29
1436,RL,9000,1Story,1971,1,2,528,2007,120500,1,36
1438,RM,7407,1Story,1957,1,2,923,2010,149700,1,53
1444,RL,8500,1Story,2004,1,2,626,2007,179600,1,3
1446,RL,26142,1Story,1962,1,1,312,2010,157900,1,48
1447,RL,10000,2Story,1995,1,2,556,2007,240000,1,12
1448,RL,11767,2Story,1910,0,1,384,2007,112000,1,97
1455,RL,7917,2Story,1999,1,2,460,2007,175000,1,8
1456,RL,13175,1Story,1978,1,2,500,2010,210000,1,32
1457,RL,9042,2Story,1941,1,1,252,2010,266500,1,69
1458,RL,9717,1Story,1950,1,1,240,2010,142125,1,60
1459,RL,9937,1Story,1965,1,1,276,2008,147500,1,43
